0011000;1302000;50
0011000;1312004;50
0011000;1322005;50
0011000;1332005;500
0011100;2000000;50
0011100;2000001;160
0011100;2000002;320
0011100;2010000;30
0011100;2010002;50
0021000;1040002;50
0021000;1040006;50
0021000;1040010;50
0021000;1041002;50
0021000;1041006;50
0021000;1041010;50
0021000;1041011;50
0021000;1060002;50
0021000;1060006;50
0021000;1061002;50
0021000;1061008;50
0021000;1072001;50
0021000;1072005;50
1001000;1302000;50
1001000;1312004;50
1001000;1322005;50
1001000;1302007;3000
1001000;1312000;3000
1001000;1332007;1000
1001000;2070000;
1001000;2070001;
1001000;2070002;
1001000;2070003;
1001000;2070004;
1001000;2070005;
1001000;2070006;
1001000;2070007;
1001000;2070008;
1001000;2070009;
1001000;2070010;
1001000;2070011;
1001000;2070012;
1001000;2070013;
1001000;2070016;
1001000;2070018;
1001000;2330000;
1001000;2330001;
1001000;2330002;
1001000;2330003;
1001000;2330004;
1001000;2330005;
1001000;2331000;
1001000;2332000;
1001001;1002008;500
1001001;1002014;1000
1001001;1002066;450
1001001;1002067;450
1001001;1002068;450
1001001;1002069;450
1001001;1002132;800
1001001;1002133;800
1001001;1002134;800
1001001;1002019;2000
1001001;1002001;3000
1001001;1040013;3000
1001001;1040014;3000
1001001;1041004;3000
1001001;1041012;3000
1001001;1060007;1000
1001001;1060004;2800
1001001;1062000;4800
1001001;1062001;4800
1001001;1072001;50
1001001;1072037;50
1001001;1072038;50
1001001;1072005;50
1001001;1072008;5000
1001001;1072048;5000
1001001;1072049;5000
1001001;1072017;10000
1001001;1072062;10000
1001001;1072063;10000
1001001;1092003;2000
1001001;3010001;1000
1001001;2070000;
1001001;2070001;
1001001;2070002;
1001001;2070003;
1001001;2070004;
1001001;2070005;
1001001;2070006;
1001001;2070007;
1001001;2070008;
1001001;2070009;
1001001;2070010;
1001001;2070011;
1001001;2070012;
1001001;2070013;
1001001;2070016;
1001001;2070018;
1001001;2330000;
1001001;2330001;
1001001;2330002;
1001001;2330003;
1001001;2330004;
1001001;2330005;
1001001;2331000;
1001001;2332000;
1001100;2000000;50
1001100;2000001;160
1001100;2000002;320
1001100;2000003;200
1001100;2000006;620
1001100;2002000;500
1001100;2002001;400
1001100;2002002;500
